"Symbol,""Name"",""LastSale"",""MarketCap"",""ADR TSO"",""IPOyear"",""Sector"",""Industry"",""Summary Quote"",";
"FAX,""Aberdeen Asia-Pacific Income Fund Inc"",""5.88"",""1572358616.64"",""n/a"",""1986"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/fax"",";
"IAF,""Aberdeen Australia Equity Fund Inc"",""8.92"",""201361141.48"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/iaf"",";
"CH,""Aberdeen Chile Fund, Inc."",""11.88"",""111511584.36"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/ch"",";
"ETF,""Aberdeen Emerging Markets Smaller Company Opportunities Fund I"",""13.26"",""109350777.9"",""n/a"",""1992"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/etf"",";
"FCO,""Aberdeen Global Income Fund, Inc."",""10.59"",""99589948.5"",""n/a"",""1992"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/fco"",";
"IF,""Aberdeen Indonesia Fund, Inc."",""8.42"",""79865779.74"",""n/a"",""1990"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/if"",";
"ISL,""Aberdeen Israel Fund, Inc."",""17.1"",""72249637.5"",""n/a"",""1992"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/isl"",";
"ACU,""Acme United Corporation."",""14.5"",""46343479"",""n/a"",""1988"",""Capital Goods"",""Industrial Machinery/Components"",""http://www.nasdaq.com/symbol/acu"",";
"AE,""Adams Resources & Energy, Inc."",""67.52"",""284772081.92"",""n/a"",""n/a"",""Energy"",""Oil Refining/Marketing"",""http://www.nasdaq.com/symbol/ae"",";
"ADK,""Adcare Health Systems Inc"",""4.45"",""70166020.25"",""n/a"",""n/a"",""Health Care"",""Hospital/Nursing Management"",""http://www.nasdaq.com/symbol/adk"",";
"ADK^A,""Adcare Health Systems Inc"",""27.1025"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/adk^a"",";
"API,""Advanced Photonix, Inc."",""0.73"",""22808660.2"",""n/a"",""n/a"",""Technology"",""Semiconductors"",""http://www.nasdaq.com/symbol/api"",";
"ACY,""AeroCentury Corp."",""16.3501"",""25232406.2757"",""n/a"",""n/a"",""Technology"",""Diversified Commercial Services"",""http://www.nasdaq.com/symbol/acy"",";
"AIRI,""Air Industries Group"",""8.6001"",""50259784.2093"",""n/a"",""n/a"",""Capital Goods"",""Military/Government/Technical"",""http://www.nasdaq.com/symbol/airi"",";
"AA^,""Alcoa Inc."",""78.45"",""0"",""n/a"",""n/a"",""Capital Goods"",""Metal Fabrications"",""http://www.nasdaq.com/symbol/aa^"",";
"AXX,""Alderon Iron Ore Corp."",""1.69"",""219943642.23"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/axx"",";
"AXU,""Alexco Resource Corp"",""1.69"",""105749887.62"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/axu"",";
"ANV,""Allied Nevada Gold Corp."",""4.83"",""502528506.27"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/anv"",";
"AAU,""Almaden Minerals, Ltd."",""1.54"",""99335114.34"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/aau"",";
"APT,""Alpha Pro Tech, Ltd."",""2.199"",""41607738.591"",""n/a"",""n/a"",""Health Care"",""Industrial Specialties"",""http://www.nasdaq.com/symbol/apt"",";
"ALTV,""Alteva (D/B/A)"",""8.18"",""50232472.02"",""n/a"",""n/a"",""Public Utilities"",""Telecommunications Equipment"",""http://www.nasdaq.com/symbol/altv"",";
"AAMC,""Altisource Asset Management Corp"",""1179.78"",""2773771319.76"",""n/a"",""n/a"",""Finance"",""Real Estate"",""http://www.nasdaq.com/symbol/aamc"",";
"DIT,""AMCON Distributing Company"",""80.0001"",""50636703.2958"",""n/a"",""n/a"",""Consumer Non-Durables"",""Food Distributors"",""http://www.nasdaq.com/symbol/dit"",";
